Country Name,Country Code,Population_2026,Population_2035,Growth_Millions,Growth_Percentage
Afghanistan,AFG,45025957.1047048,54932166.32468516,9.90620921998036,22.001107487719015
Albania,ALB,2319107.6776255565,1841444.6904493617,-0.47766298717619476,-20.596843854411073
Algeria,DZA,48046021.02036397,53122003.698321536,5.0759826779575645,10.56483465260556
American Samoa,ASM,41432.58616376348,-223646.88078904536,-0.2650794669528088,-639.7849892958037
Andorra,AND,79982.55545455299,-170812.4296695724,-0.2507949851241254,-313.56210576021164
Angola,AGO,40180681.2112409,49725341.70887324,9.54466049763234,23.754352116265604
Antigua and Barbuda,ATG,90772.16823221504,-164353.56916676718,-0.2551257373989822,-281.0616319600462
Argentina,ARG,46003439.08750413,47190782.851573974,1.1873437640698403,2.58098913390229
Armenia,ARM,3134461.625521212,3320521.381605584,0.18605975608437228,5.9359398299678805
Aruba,ABW,105710.2389858216,-146300.1658782193,-0.2520104048640409,-238.39734663530731
Australia,AUS,28019349.27555673,31293870.90900067,3.2745216334439404,11.686644115966457
Austria,AUT,9233524.386942808,9246569.741759425,0.013045354816617444,0.1412825078478698
Azerbaijan,AZE,10287046.481931604,10427906.05365725,0.14085957172564603,1.3692907091754167
"Bahamas, The",BHS,400906.87718922703,157727.00174825866,-0.24317987544096836,-60.65744672326689
Bahrain,BHR,1608154.2397427275,1452251.913593645,-0.1559023261490825,-9.694488395219091
Bangladesh,BGD,177795499.8471919,195914995.4287575,18.119495581565587,10.19120033810674
Barbados,BRB,278922.51456223906,22080.970633102,-0.25684154392913705,-92.08347498667956
Belarus,BLR,9036477.07688087,8415567.503710229,-0.6209095731706414,-6.871146442225706
Belgium,BEL,12021141.227716573,12500091.125951247,0.4789498982346747,3.98422985939457
Belize,BLZ,424852.4640665834,216075.42029230256,-0.2087770437742808,-49.14106929636662
Benin,BEN,15159153.777878003,17893593.07215448,2.734439294276478,18.03820539288208
Bermuda,BMU,60604.38286488294,-198955.17686795897,-0.2595595597328419,-428.28512966055314
Bhutan,BTN,797955.6847187505,584660.8147004507,-0.21329487001829978,-26.730164857899126
Bolivia,BOL,12745253.576341027,13937767.85272405,1.1925142763830219,9.356536292041158
Bosnia and Herzegovina,BIH,3112287.8704302893,2658886.2484223703,-0.453401622007919,-14.568113262133235
Botswana,BWA,2598917.4301864896,2691388.9237210792,0.09247149353458965,3.5580773925531837
Brazil,BRA,213622324.64263874,220837954.9805533,7.215630337914556,3.3777510613580906
British Virgin Islands,VGB,36103.39549198741,-220805.71542106278,-0.2569091109130502,-711.5926560704441
Brunei Darussalam,BRN,466040.26858331455,238587.8021570763,-0.22745246642623823,-48.805324723903404
Bulgaria,BGR,6421569.975150057,6113385.13562483,-0.30818483952522746,-4.799213287682439
Burkina Faso,BFA,24592074.33955575,28815909.070083275,4.223834730527524,17.175593535570886
Burundi,BDI,14724115.602223061,17366998.28242414,2.6428826802010796,17.94934753026562
Cabo Verde,CPV,525897.8263072188,288970.82666555373,-0.23692699964166503,-45.05190700355873
Cambodia,KHM,18051523.76447336,19598195.161326468,1.546671396853108,8.568093292473534
Cameroon,CMR,30624450.106826514,36792580.034915015,6.168129928088501,20.14119406739506
Canada,CAN,41976622.54118255,44578997.20172565,2.602374660543099,6.199580869065761
Cayman Islands,CYM,73344.26935813687,-173893.4773540236,-0.24723774671216048,-337.09211213886306
Central African Republic,CAF,5690533.672722115,6981188.165054533,1.2906544923324175,22.680728496858574
Chad,TCD,21678011.834916525,27208935.91899373,5.530924084077205,25.513982214774
Channel Islands,CHI,164932.22578782542,-90815.06317629362,-0.255747288964119,-155.06204911896435
Chile,CHL,19950500.18965612,20545455.13112181,0.5949549414656907,2.9821555139462683
China,CHN,1404254215.8687398,1388101861.7336388,-16.15235413510108,-1.150244304241483
Colombia,COL,53956123.05994327,58369039.43521048,4.412916375267208,8.178712859640823
Comoros,COM,895056.8432504793,774644.0975504662,-0.12041274570001312,-13.453083634635252
"Congo, Dem. Rep.",COD,116355517.69900373,146287637.64009157,29.93211994108784,25.72471038160671
"Congo, Rep.",COG,6630779.191918897,7662098.934645801,1.0313197427269034,15.553522638542985
Costa Rica,CRI,5172057.993700126,5121711.328214251,-0.05034666548587475,-0.9734358266515956
Cote d'Ivoire,CIV,33478598.37510886,39840532.07369441,6.361933698585547,19.00298700472361
Croatia,HRV,3882685.8210101263,3722137.990020276,-0.16054783098985023,-4.134968379905687
Cuba,CUB,10891704.79487276,10309814.374842111,-0.5818904200306497,-5.3425100201446245
Curacao,CUW,152619.61663821473,-104132.65420575126,-0.256752270843966,-168.23018986648225
Cyprus,CYP,1379230.7385403595,1228489.8133434437,-0.15074092519691587,-10.929347859259941
Czechia,CZE,10861504.156899778,10447319.611401362,-0.4141845454984158,-3.8133258480162233
Denmark,DNK,6037606.096069591,6068799.175252271,0.031193079182679766,0.516646476870793
Djibouti,DJI,1195419.842368314,1068476.3747130167,-0.12694346765529738,-10.619153468609193
Dominica,DMA,61669.65440376778,-200010.87314794795,-0.2616805275517157,-424.32624291750216
Dominican Republic,DOM,11608911.428660924,12163130.592405653,0.554219163744729,4.774083833359539
Ecuador,ECU,18439667.02193759,19532239.009749826,1.092571987812236,5.925117771988007
"Egypt, Arab Rep.",EGY,120163393.90926619,135480056.98788932,15.316663078623131,12.746530020772004
El Salvador,SLV,6388908.870698193,6378295.778621439,-0.010613092076754198,-0.1661174433936538
Equatorial Guinea,GNQ,1980126.4105860032,2112442.0971304113,0.1323156865444081,6.682183815994367
Eritrea,ERI,3674359.920702192,4028884.6824581274,0.3545247617559354,9.648612803510648
Estonia,EST,1356321.2670505526,1047405.7936465892,-0.30891547340396347,-22.775980949980166
Eswatini,SWZ,1265646.5960753006,1123115.8796140107,-0.1425307164612899,-11.261494077673001
Ethiopia,ETH,138852339.0920415,167635847.16500533,28.783508072963834,20.729580978743193
Faroe Islands,FRO,51288.529618882225,-205422.57349223783,-0.25671110311112005,-500.5234211600601
Fiji,FJI,933636.2679115315,713996.8607911053,-0.21963940712042618,-23.525157994530534
Finland,FIN,5668441.102242535,5643609.610212544,-0.024831492029991,-0.4380656265470806
France,FRA,68886465.94443455,70255207.97837012,1.3687420339355618,1.986953482327895
French Polynesia,PYF,279256.7707960484,26582.444380626373,-0.25267432641542203,-90.48100273277151
Gabon,GAB,2642965.603614472,2845991.393526053,0.2030257899115812,7.681741662998823
"Gambia, The",GMB,2879774.2211554353,3149890.2279412067,0.27011600678577136,9.379763343995567
Georgia,GEO,4055815.5157098076,4858571.573021375,0.802756057311567,19.792716266362937
Germany,DEU,83449132.71253504,83082731.1180505,-0.36640159448453785,-0.43907178250337886
Ghana,GHA,35691806.53591327,40877700.521766186,5.185893985852912,14.529648367994035
Gibraltar,GIB,37038.89931493206,-215274.01062461513,-0.2523129099395472,-681.2106045436086
Greece,GRC,10420207.148512078,10275868.696624326,-0.14433845188775285,-1.3851783350426314
Greenland,GRL,52958.109758759616,-205962.10618064192,-0.2589202159394015,-488.91513900111295
Grenada,GRD,113529.65035892953,-144384.2734650356,-0.2579139238239651,-227.17759017891598
Guam,GUM,166340.39587664057,-81989.0844631379,-0.24832948033977847,-149.2899418875627
Guatemala,GTM,18963389.66936295,21122312.016567502,2.158922347204551,11.384685886049596
Guinea,GIN,15437407.814547287,18113009.855099678,2.675602040552391,17.331938578645723
Guinea-Bissau,GNB,2293394.162385574,2445024.314599129,0.15163015221355483,6.611604524877228
Guyana,GUY,837016.3087076328,621774.0184910126,-0.2152422902166202,-25.715423699325274
Haiti,HTI,12034807.319715537,12931471.31895589,0.8966639992403537,7.450588741636355
Honduras,HND,11180648.738209158,12465322.899205849,1.2846741609966903,11.490157602451081
"Hong Kong SAR, China",HKG,7469617.743391847,7015190.625891566,-0.454427117500281,-6.083672995211828
Hungary,HUN,9462413.265987175,8822209.304680377,-0.6402039613067974,-6.765757775640838
Iceland,ISL,394742.81568049174,189599.6861472634,-0.20514312953322836,-51.96880636816276
India,IND,1476732940.9512253,1589525932.2777805,112.79299132655525,7.638008755591284
Indonesia,IDN,287937134.21980155,307262449.3184856,19.325315098684072,6.7116438979113315
"Iran, Islamic Rep.",IRN,93251652.26375797,100338451.01713118,7.0867987533732055,7.5996495304217495
Iraq,IRQ,47987936.06742367,56084417.661403745,8.096481593980075,16.87191043724909
Ireland,IRL,5568681.276281608,6071916.222496565,0.5032349462149571,9.036878234679355
