Country Name,Country Code,Year,Predicted_Population
Aruba,ABW,2026,110253.80753276717
Aruba,ABW,2027,112510.18136971432
Aruba,ABW,2028,115505.98810255172
Aruba,ABW,2029,119134.15669262764
Aruba,ABW,2030,123265.7081528874
Aruba,ABW,2031,127763.75916914549
Aruba,ABW,2032,132488.82315607087
Aruba,ABW,2033,137300.82217707235
Aruba,ABW,2034,142059.8556819172
Aruba,ABW,2035,146626.4993104262
Afghanistan,AFG,2026,45036184.39489147
Afghanistan,AFG,2027,46220379.806876406
Afghanistan,AFG,2028,47395294.200268716
Afghanistan,AFG,2029,48560255.10779101
Afghanistan,AFG,2030,49714867.57551496
Afghanistan,AFG,2031,50858842.94491005
Afghanistan,AFG,2032,51991934.15235555
Afghanistan,AFG,2033,53113911.28571187
Afghanistan,AFG,2034,54224552.355457276
Afghanistan,AFG,2035,55323639.81581579
Angola,AGO,2026,40195555.67621161
Angola,AGO,2027,41345859.516019434
Angola,AGO,2028,42488335.66440126
Angola,AGO,2029,43621853.892223045
Angola,AGO,2030,44745846.41965848
Angola,AGO,2031,45859959.39841199
Angola,AGO,2032,46963921.20266336
Angola,AGO,2033,48057492.660616174
Angola,AGO,2034,49140448.254518494
Angola,AGO,2035,50212569.02471998
Albania,ALB,2026,2325199.6975874417
Albania,ALB,2027,2302458.1063114684
Albania,ALB,2028,2280690.3032172984
Albania,ALB,2029,2259558.288412998
Albania,ALB,2030,2238847.9863473894
Albania,ALB,2031,2218392.532710235
Albania,ALB,2032,2198043.289708617
Albania,ALB,2033,2177658.899749757
Albania,ALB,2034,2157101.1564860814
Albania,ALB,2035,2136233.452334303
Andorra,AND,2026,84448.59285548849
Andorra,AND,2027,86744.69662277635
Andorra,AND,2028,89768.41664714133
Andorra,AND,2029,93421.83288962535
Andorra,AND,2030,97579.41492458043
Andorra,AND,2031,102105.57265423183
Andorra,AND,2032,106861.2979569919
Andorra,AND,2033,111706.6832734864
Andorra,AND,2034,116501.88183579782
Andorra,AND,2035,121107.47884556274
United Arab Emirates,ARE,2026,12047235.951059086
United Arab Emirates,ARE,2027,12582208.383623721
United Arab Emirates,ARE,2028,13115510.994662078
United Arab Emirates,ARE,2029,13646062.146865904
United Arab Emirates,ARE,2030,14173337.939355908
United Arab Emirates,ARE,2031,14697026.050661188
United Arab Emirates,ARE,2032,15216894.921611317
United Arab Emirates,ARE,2033,15732744.32377731
United Arab Emirates,ARE,2034,16244386.686674517
United Arab Emirates,ARE,2035,16751640.049810953
Argentina,ARG,2026,46002507.82949686
Argentina,ARG,2027,46148879.63278353
Argentina,ARG,2028,46290158.39305504
Argentina,ARG,2029,46426136.025159955
Argentina,ARG,2030,46556653.18293829
Argentina,ARG,2031,46681569.71290505
Argentina,ARG,2032,46800753.49324392
Argentina,ARG,2033,46914076.2212386
Argentina,ARG,2034,47021411.82668348
Argentina,ARG,2035,47122635.877641454
Armenia,ARM,2026,3134134.325957066
Armenia,ARM,2027,3179579.874460013
Armenia,ARM,2028,3224373.4135870505
Armenia,ARM,2029,3268929.8925410346
Armenia,ARM,2030,3313316.2810691036
Armenia,ARM,2031,3357468.455197541
Armenia,ARM,2032,3401273.175604797
Armenia,ARM,2033,3444599.0789425108
Armenia,ARM,2034,3487308.398992429
Armenia,ARM,2035,3529261.4047568575
American Samoa,ASM,2026,45930.35759285523
American Samoa,ASM,2027,46612.88291139125
American Samoa,ASM,2028,48041.76140679192
American Samoa,ASM,2029,50115.02589233834
American Samoa,ASM,2030,52705.69503303824
American Samoa,ASM,2031,55677.70779101481
American Samoa,ASM,2032,58891.95421691354
American Samoa,ASM,2033,62208.563165252475
American Samoa,ASM,2034,65487.7752653568
American Samoa,ASM,2035,68590.2811182458
Antigua and Barbuda,ATG,2026,95261.80125539188
Antigua and Barbuda,ATG,2027,97080.75555693528
Antigua and Barbuda,ATG,2028,99633.47073642066
Antigua and Barbuda,ATG,2029,102818.84617918608
Antigua and Barbuda,ATG,2030,106510.18015350304
Antigua and Barbuda,ATG,2031,110571.47042062029
Antigua and Barbuda,ATG,2032,114863.58341533956
Antigua and Barbuda,ATG,2033,119246.59426481751
Antigua and Barbuda,ATG,2034,123580.67952754552
Antigua and Barbuda,ATG,2035,127726.46286170921
Australia,AUS,2026,27988975.087524667
Australia,AUS,2027,28343833.765225124
Australia,AUS,2028,28688658.895613223
Australia,AUS,2029,29027006.646779835
Australia,AUS,2030,29360122.58542882
Australia,AUS,2031,29688379.783767954
Australia,AUS,2032,30011822.34621767
Australia,AUS,2033,30330370.83786282
Australia,AUS,2034,30643899.931734573
Australia,AUS,2035,30952267.762278672
Austria,AUT,2026,9232187.448379375
Austria,AUT,2027,9253703.065390421
Austria,AUT,2028,9274001.260172302
Austria,AUT,2029,9293483.327961283
Austria,AUT,2030,9312214.59358222
Austria,AUT,2031,9330133.852763413
Austria,AUT,2032,9347132.536430832
Austria,AUT,2033,9363084.637943558
Austria,AUT,2034,9377858.031558044
Austria,AUT,2035,9391318.757792778
Azerbaijan,AZE,2026,10289153.70974924
Azerbaijan,AZE,2027,10330234.195391618
Azerbaijan,AZE,2028,10370501.280072125
Azerbaijan,AZE,2029,10409967.060212225
Azerbaijan,AZE,2030,10448548.954071777
Azerbaijan,AZE,2031,10486129.064789327
Azerbaijan,AZE,2032,10522576.624011017
Azerbaijan,AZE,2033,10557756.482085034
Azerbaijan,AZE,2034,10591532.32459512
Azerbaijan,AZE,2035,10623767.895671137
Burundi,BDI,2026,14724754.374925723
Burundi,BDI,2027,15055206.414949885
Burundi,BDI,2028,15382452.268324751
Burundi,BDI,2029,15706802.217877883
Burundi,BDI,2030,16028271.337756645
Burundi,BDI,2031,16346763.807500124
Burundi,BDI,2032,16662142.580494102
Burundi,BDI,2033,16974255.723078337
Burundi,BDI,2034,17282946.377616193
Burundi,BDI,2035,17588056.53627504
Belgium,BEL,2026,12026174.071887227
Belgium,BEL,2027,12110457.159849787
Belgium,BEL,2028,12194036.759827454
Belgium,BEL,2029,12276598.986784598
Belgium,BEL,2030,12357936.1335807
Belgium,BEL,2031,12437881.128598155
Belgium,BEL,2032,12516282.772590395
Belgium,BEL,2033,12592996.387554744
Belgium,BEL,2034,12667880.290337596
Belgium,BEL,2035,12740794.467544861
Benin,BEN,2026,15164753.45287081
Benin,BEN,2027,15512936.613197114
Benin,BEN,2028,15858652.61445523
Benin,BEN,2029,16201662.757593174
Benin,BEN,2030,16541773.686543968
Benin,BEN,2031,16878809.873752486
Benin,BEN,2032,17212603.23007288
Benin,BEN,2033,17542989.186538674
