Year,Population,Population_Billions,Annual_Growth_Percentage
1960,3010810885.0,3.010810885,
1961,3051695778.0,3.051695778,1.3579362690526509
1962,3105919711.0,3.105919711,1.776845955317885
1963,3172220909.0,3.172220909,2.1346719866964348
1964,3239007635.0,3.239007635,2.1053617612353914
1965,3306329613.0,3.306329613,2.0784754340352096
1966,3375974359.0,3.375974359,2.10640662461985
1967,3445721886.0,3.445721886,2.0659969414181134
1968,3517028321.0,3.517028321,2.069419336764189
1969,3590636363.0,3.590636363,2.0929044432338006
1970,3665921999.0,3.665921999,2.0967212602141183
1971,3743601832.0,3.743601832,2.118971244374257
1972,3819124696.0,3.819124696,2.017385058272936
1973,3895459098.0,3.895459098,1.998740760676121
1974,3971401955.0,3.971401955,1.9495226387819198
1975,4045884817.0,4.045884817,1.8754803176300516
1976,4119242818.0,4.119242818,1.8131509995480855
1977,4192109999.0,4.192109999,1.768945998560456
1978,4266267124.0,4.266267124,1.76896896831642
1979,4342558117.0,4.342558117,1.7882376040361692
1980,4419768868.0,4.419768868,1.7780015585223685
1981,4498762605.0,4.498762605,1.7872820810140189
1982,4581030996.0,4.581030996,1.8286893135584847
1983,4664081568.0,4.664081568,1.8129231623299935
1984,4746883340.0,4.74688334,1.7753071165842904
1985,4831302728.0,4.831302728,1.778417162449153
1986,4918048497.0,4.918048497,1.795494380785989
1987,5007153339.0,5.007153339,1.811792666427614
1988,5097059106.0,5.097059106,1.7955465094255718
1989,5187322882.0,5.187322882,1.7708991424828957
1990,5278683072.0,5.278683072,1.7612204229086936
1991,5367699737.0,5.367699737,1.6863422900339708
1992,5456137589.0,5.456137589,1.647593128028202
1993,5543585322.0,5.543585322,1.6027406122657517
1994,5629457139.0,5.629457139,1.5490303118311122
1995,5714947096.0,5.714947096,1.5186181347352168
1996,5800903824.0,5.800903824,1.5040686563863925
1997,5886580171.0,5.886580171,1.476948241160847
1998,5971897014.0,5.971897014,1.4493447897016676
1999,6056061931.0,6.056061931,1.4093497728224547
2000,6139355967.0,6.139355967,1.3753828304435167
2001,6222400132.0,6.222400132,1.35265271221241
2002,6304713767.0,6.304713767,1.3228598812970116
2003,6386798133.0,6.386798133,1.3019523016198464
2004,6469714377.0,6.469714377,1.29824432013248
2005,6552687470.0,6.55268747,1.2824846378840293
2006,6636721385.0,6.636721385,1.2824343505581481
2007,6721147601.0,6.721147601,1.272107281628787
2008,6807086605.0,6.807086605,1.2786358684819588
2009,6893098851.0,6.893098851,1.2635691447912656
2010,6977721692.0,6.977721692,1.2276458357727282
2011,7063523664.0,7.063523664,1.229655979234212
2012,7153220418.0,7.153220418,1.269858476685637
2013,7242060524.0,7.242060524,1.2419595763671243
2014,7330140187.0,7.330140187,1.216223790288784
2015,7417623209.0,7.417623209,1.1934699714904573
2016,7504713217.0,7.504713217,1.1740958733834184
2017,7590236185.0,7.590236185,1.1395900886161714
2018,7672585454.0,7.672585454,1.0849368450844832
2019,7753571445.0,7.753571445,1.0555241318007003
2020,7830279316.0,7.830279316,0.9893230692994637
2021,7896080486.0,7.896080486,0.8403425643520146
2022,7965363923.0,7.965363923,0.8774408660453981
2023,8039550134.0,8.039550134,0.9313599694520835
2024,8117484624.0,8.117484624,0.9693886934097007
2025,8192078152.0,8.192078152,0.9189241674626425
