Country Code,Country Name,Population_1960,Population_2025,Absolute_Growth,Growth_Percentage
ARE,United Arab Emirates,131334.0,11513149.0,11381815.0,8666.312607550215
QAT,Qatar,36010.0,2972215.0,2936205.0,8153.86003887809
SXM,Sint Maarten (Dutch part),2715.0,43923.0,41208.0,1517.7900552486187
KWT,Kuwait,311060.0,4865298.0,4554238.0,1464.1027454510383
SAU,Saudi Arabia,2435403.0,36973555.0,34538152.0,1418.1698881047612
DJI,Djibouti,86024.0,1184076.0,1098052.0,1276.4484329954432
JOR,Jordan,853471.0,11520684.0,10667213.0,1249.8623854823422
OMN,Oman,530485.0,5494691.0,4964206.0,935.7863087551957
BHR,Bahrain,165477.0,1600366.0,1434889.0,867.122923427425
CYM,Cayman Islands,8428.0,75844.0,67416.0,799.905078310394
CIV,Cote d'Ivoire,3673666.0,32711547.0,29037881.0,790.4333436953714
AND,Andorra,9510.0,82904.0,73394.0,771.7560462670873
TCA,Turks and Caicos Islands,5599.0,46855.0,41256.0,736.8458653330952
NER,Niger,3505050.0,27917831.0,24412781.0,696.5030741358896
YEM,"Yemen, Rep.",5532301.0,41773878.0,36241577.0,655.0904768196814
KEN,Kenya,7695307.0,57532493.0,49837186.0,647.6309002356891
AGO,Angola,5231654.0,39040039.0,33808385.0,646.2274645838581
COD,"Congo, Dem. Rep.",15264846.0,112832473.0,97567627.0,639.1654851938893
GNQ,Equatorial Guinea,269807.0,1938431.0,1668624.0,618.4509668021956
TZA,Tanzania,9901419.0,70545865.0,60644446.0,612.4823724761068
GMB,"Gambia, The",398060.0,2822093.0,2424033.0,608.961714314425
ZMB,Zambia,3153729.0,21913874.0,18760145.0,594.8559625763659
TCD,Chad,3049838.0,21003705.0,17953867.0,588.6826447831
SOM,"Somalia, Fed. Rep.",2876331.0,19654739.0,16778408.0,583.3267450790607
UGA,Uganda,7640973.0,51384894.0,43743921.0,572.4915007552049
IRQ,Iraq,7022052.0,47020774.0,39998722.0,569.615861574366
MRT,Mauritania,824298.0,5315065.0,4490767.0,544.7989683342674
MDG,Madagascar,5111029.0,32740678.0,27629649.0,540.5887738066052
ETH,Ethiopia,21376693.0,135472051.0,114095358.0,533.7371781500534
SDN,Sudan,8364489.0,51662147.0,43297658.0,517.6366183277903
COG,"Congo, Rep.",1056732.0,6484437.0,5427705.0,513.6311761165556
MWI,Malawi,3628134.0,22216120.0,18587986.0,512.3290925858857
SLB,Solomon Islands,139688.0,838645.0,698957.0,500.3701105320428
BEN,Benin,2517286.0,14814460.0,12297174.0,488.5092119052026
MAF,St. Martin (French part),4250.0,24941.0,20691.0,486.84705882352944
MDV,Maldives,91189.0,529676.0,438487.0,480.8551470023796
CMR,Cameroon,5159057.0,29879337.0,24720280.0,479.16276172176424
SEN,Senegal,3340907.0,18931966.0,15591059.0,466.6714458079797
PAK,Pakistan,45709310.0,255219554.0,209510244.0,458.3535476689541
SYR,Syrian Arab Republic,4673500.0,25620427.0,20946927.0,448.2064191719268
PNG,Papua New Guinea,1995110.0,10762817.0,8767707.0,439.45982928259593
HND,Honduras,2062060.0,11005850.0,8943790.0,433.73083227452156
MOZ,Mozambique,6713695.0,35631653.0,28917958.0,430.73088664289935
BRN,Brunei Darussalam,88347.0,466330.0,377983.0,427.8390890466003
NGA,Nigeria,45053782.0,237527782.0,192474000.0,427.2094182903446
NAM,Namibia,591465.0,3092816.0,2501351.0,422.9076952989611
BDI,Burundi,2764258.0,14390003.0,11625745.0,420.5738031688793
VUT,Vanuatu,64431.0,335169.0,270738.0,420.1983517251013
TGO,Togo,1673110.0,8591626.0,6918516.0,413.5123213656006
TJK,Tajikistan,2112131.0,10786734.0,8674603.0,410.7038341845274
GAB,Gabon,512316.0,2593130.0,2080814.0,406.1583085439455
BFA,Burkina Faso,4778621.0,24074580.0,19295959.0,403.7976437135316
GHA,Ghana,6961215.0,35064272.0,28103057.0,403.7090795213192
LBR,Liberia,1139522.0,5731206.0,4591684.0,402.9482537414811
VGB,British Virgin Islands,7950.0,39732.0,31782.0,399.77358490566036
LBY,Libya,1492890.0,7458555.0,5965665.0,399.6051283081808
MNP,Northern Mariana Islands,8736.0,43541.0,34805.0,398.4088827838828
BWA,Botswana,516165.0,2562122.0,2045957.0,396.37654625943253
AFG,Afghanistan,9035043.0,43844111.0,34809068.0,385.26731970174353
RWA,Rwanda,3022294.0,14569341.0,11547047.0,382.0623341078002
ISR,Israel,2114020.0,10122800.0,8008780.0,378.8412597799453
MLI,Mali,5402550.0,25198821.0,19796271.0,366.4245772829497
TKM,Turkmenistan,1643457.0,7618847.0,5975390.0,363.58663475831736
BLZ,Belize,91318.0,422924.0,331606.0,363.13322674609606
GTM,Guatemala,4063655.0,18687881.0,14624226.0,359.87863142909526
MYS,Malaysia,7956197.0,35977838.0,28021641.0,352.1989337368092
UZB,Uzbekistan,8209109.0,37053428.0,28844319.0,351.36966752421
COM,Comoros,197700.0,882847.0,685147.0,346.5589276681841
ZWE,Zimbabwe,3809389.0,16950795.0,13141406.0,344.97411527150416
EGY,"Egypt, Arab Rep.",26896479.0,118365995.0,91469516.0,340.07988926729035
IRN,"Iran, Islamic Rep.",21470434.0,92417681.0,70947247.0,330.4416063503886
GIN,Guinea,3556749.0,15099727.0,11542978.0,324.53732326908647
PHL,Philippines,27891897.0,116786962.0,88895065.0,318.7128684721588
SSD,South Sudan,2931559.0,12188788.0,9257229.0,315.7783622980128
DZA,Algeria,11424922.0,47435312.0,36010390.0,315.19156104523074
PAN,Panama,1126005.0,4571189.0,3445184.0,305.9652488221633
ECU,Ecuador,4590891.0,18289896.0,13699005.0,298.39534417175224
MAC,"Macao SAR, China",173315.0,685900.0,512585.0,295.7533969939128
ZAF,South Africa,16440172.0,64747319.0,48307147.0,293.83601947716846
NIC,Nicaragua,1782370.0,7007502.0,5225132.0,293.1564153346387
GNB,Guinea-Bissau,577633.0,2249515.0,1671882.0,289.436718470032
SLE,Sierra Leone,2268356.0,8819794.0,6551438.0,288.8187744780802
CRI,Costa Rica,1327496.0,5152950.0,3825454.0,288.1706611545345
PRY,Paraguay,1883514.0,7013078.0,5129564.0,272.3401047191579
SGP,Singapore,1646400.0,6111175.0,4464775.0,271.1840986394558
LAO,Lao PDR,2121514.0,7873046.0,5751532.0,271.1050693042799
ERI,Eritrea,972547.0,3607003.0,2634456.0,270.8821270334493
NCL,New Caledonia,79819.0,295333.0,215514.0,270.00338265325297
MNG,Mongolia,977595.0,3568978.0,2591383.0,265.07735821071094
SWZ,Eswatini,345337.0,1256174.0,910837.0,263.7530875637421
MEX,Mexico,36724615.0,131946900.0,95222285.0,259.28736080691385
BTN,Bhutan,224084.0,796682.0,572598.0,255.52828403634354
STP,Sao Tome and Principe,68012.0,240254.0,172242.0,253.25236722931245
DOM,Dominican Republic,3268336.0,11520487.0,8252151.0,252.487840907422
VEN,"Venezuela, RB",8160090.0,28516896.0,20356806.0,249.46791028040133
BHS,"Bahamas, The",116317.0,403033.0,286716.0,246.49535321578102
COL,Colombia,15606209.0,53425635.0,37819426.0,242.33576520729665
PER,Peru,10174127.0,34576665.0,24402538.0,239.84896197973544
BOL,Bolivia,3702323.0,12581843.0,8879520.0,239.83644862968467
BGD,Bangladesh,51828660.0,175686899.0,123858239.0,238.97634822123513
KGZ,Kyrgyz Republic,2172300.0,7343064.0,5170764.0,238.03176356856787
PYF,French Polynesia,83671.0,282465.0,198794.0,237.59008497567856
IND,India,435990338.0,1463865525.0,1027875187.0,235.75641417081127
MAR,Morocco,11624933.0,38430770.0,26805837.0,230.58917414835852
KHM,Cambodia,5449966.0,17847982.0,12398016.0,227.4879513009806
LBN,Lebanon,1794406.0,5849421.0,4055015.0,225.98090956004384
CAF,Central African Republic,1702346.0,5513282.0,3810936.0,223.86377387440626
IDN,Indonesia,88296070.0,285721236.0,197425166.0,223.59451105807992
LSO,Lesotho,736500.0,2363325.0,1626825.0,220.88594704684317
VIR,Virgin Islands (U.S.),32500.0,103792.0,71292.0,219.36
VNM,Viet Nam,32531933.0,101598527.0,69066594.0,212.30399681445306
HTI,Haiti,3858443.0,11906095.0,8047652.0,208.57252523880746
TUR,Turkiye,28329898.0,85878556.0,57548658.0,203.13754041754754
TLS,Timor-Leste,468118.0,1418517.0,950399.0,203.02551920669575
SYC,Seychelles,41700.0,122730.0,81030.0,194.31654676258995
BRA,Brazil,72388126.0,212812405.0,140424279.0,193.98800156810248
NPL,Nepal,10123658.0,29618118.0,19494460.0,192.56339951428626
KIR,Kiribati,47157.0,136488.0,89331.0,189.4331700489853
TUN,Tunisia,4267288.0,12348573.0,8081285.0,189.37753908337098
