Country Name,Country Code,Indicator Name,Indicator Code,Year,Population,Annual_Growth_Percentage
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1960,9661389.0,
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1961,9899372.0,2.4632379464277765
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1962,10143754.0,2.468661648435888
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1963,10395040.0,2.477248561035683
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1964,10653397.0,2.485387261617089
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1965,10916965.0,2.4740277678565903
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1966,11183928.0,2.4453957670469872
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1967,11457328.0,2.444579400010438
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1968,11736088.0,2.433028014908878
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1969,12013858.0,2.3668022939159927
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1970,12287110.0,2.274473362345386
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1971,12551910.0,2.1551040073703343
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1972,12809205.0,2.0498473937432538
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1973,13060916.0,1.9650790193458612
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1974,13305693.0,1.8741181705785426
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1975,13548984.0,1.828472970179007
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1976,13796770.0,1.8288160942547371
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1977,14049371.0,1.8308705588337082
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1978,14310128.0,1.8560047990760609
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1979,14579614.0,1.8831837143595154
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1980,14847974.0,1.8406522971047057
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1981,15099414.0,1.6934296894647094
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1982,15286567.0,1.2394719424210665
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1983,15388794.0,0.668737460804647
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1984,15441860.0,0.3448353392734971
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1985,15544154.0,0.6624461042905372
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1986,15731256.0,1.2036808178817582
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1987,15916576.0,1.1780368967360344
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1988,16078621.0,1.0180895690128366
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1989,16248557.0,1.0569065593373894
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1990,16352458.0,0.6394475521734
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1991,16475354.0,0.7515445078654315
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1992,16739284.0,1.6019686132389133
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1993,17025918.0,1.7123432519574822
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1994,17275773.0,1.4674979639864416
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1995,17564068.0,1.6687820568144662
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1996,17905018.0,1.9411790024953302
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1997,18248200.0,1.9166805640742801
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1998,18596003.0,1.9059578478973327
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1999,18944731.0,1.8752847049981591
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2000,19293054.0,1.8386273207046333
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2001,19600362.0,1.592842688358198
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2002,19805752.0,1.0478888094005656
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2003,19951521.0,0.7359932609476205
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2004,20087605.0,0.6820733116036592
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2005,20216524.0,0.6417838263944375
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2006,20352411.0,0.672158082170804
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2007,20492545.0,0.6885375889863932
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2008,20629378.0,0.667720871175348
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2009,20756435.0,0.6159032036739065
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2010,20879089.0,0.590920357951652
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2011,21009048.0,0.6224361608880624
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2012,21169458.0,0.7635281712907727
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2013,20585000.0,-2.7608548126267562
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2014,20778000.0,0.9375759047850485
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2015,20970000.0,0.9240542881894243
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2016,21209000.0,1.1397234144015167
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2017,21453000.0,1.1504549955207777
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2018,21670000.0,1.0115135412296583
