Year,Predicted_Growth_Rate,Predicted_Population
2026,-0.002913498782330659,21692613.920491613
2027,-0.0014544997017811867,21661062.020013407
2028,-0.001124155361232948,21636711.62101361
2029,-0.001228857498574376,21610123.185693637
2030,-0.0015012508095018084,21577680.97076768
2031,-0.001838281650274498,21538015.115783643
2032,-0.002200227399656529,21490626.58479168
2033,-0.002571776744233145,21435357.491121914
2034,-0.0029470278499564295,21372186.895621806
2035,-0.003323705820859779,21301152.033632327
