Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
India,IND,"Population, total",SP.POP.TOTL,2025,1463865525.0
China,CHN,"Population, total",SP.POP.TOTL,2025,1406585000.0
United States,USA,"Population, total",SP.POP.TOTL,2025,341784857.0
Indonesia,IDN,"Population, total",SP.POP.TOTL,2025,285721236.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2025,255219554.0
Nigeria,NGA,"Population, total",SP.POP.TOTL,2025,237527782.0
Brazil,BRA,"Population, total",SP.POP.TOTL,2025,212812405.0
Bangladesh,BGD,"Population, total",SP.POP.TOTL,2025,175686899.0
Russian Federation,RUS,"Population, total",SP.POP.TOTL,2025,143513328.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,2025,135472051.0
